r,fk,v2,phi,slack_float,slack_upper
1939,2909,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
1943,2915,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
1975,2963,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
1983,2975,1,4.231245214908,-1.000000287909586E-06,-9.99999524076145E-07
1991,2987,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
1995,2993,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
1999,2999,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
2051,3077,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2055,3083,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2059,3089,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2063,3095,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2091,3137,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2171,3257,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
2207,3311,1,5.454078737955,-1.0000002887977644E-06,-9.99999524076145E-07
2251,3377,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2259,3389,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2263,3395,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
2303,3455,1,4.39470605298,-1.000000287909586E-06,-9.99999524076145E-07
2323,3485,1,6.431721003894,-1.0000002887977644E-06,-9.99999524076145E-07
2375,3563,1,7.572824107905,-1.0000002887977644E-06,-9.99999524076145E-07
2383,3575,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
2483,3725,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
2495,3743,1,5.699269995064,-1.0000002887977644E-06,-9.99999524076145E-07
2507,3761,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
2515,3773,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
2531,3797,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
2559,3839,1,4.31609839644,-1.000000287909586E-06,-9.99999524076145E-07
2563,3845,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2571,3857,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2583,3875,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2611,3917,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2627,3941,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
2635,3953,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2647,3971,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2659,3989,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2679,4019,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
2695,4043,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
2707,4061,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
2723,4085,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
2739,4109,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
2763,4145,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
2851,4277,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
2867,4301,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
2875,4313,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
3003,4505,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
3007,4511,1,6.51345142293,-1.0000002887977644E-06,-9.99999524076145E-07
3011,4517,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
3199,4799,1,6.758642680039,-1.0000002887977644E-06,-9.99999524076145E-07
3299,4949,1,-6.810437558293,-1.0000002887977644E-06,-9.99999524076145E-07
3303,4955,1,5.699269995064,-1.0000002887977644E-06,-9.99999524076145E-07
3319,4979,1,-5.832795292354,-1.0000002887977644E-06,-9.99999524076145E-07
3327,4991,1,7.409363269833,-1.0000002887977644E-06,-9.99999524076145E-07
3363,5045,1,-5.832795292354,-1.0000002887977644E-06,-9.99999524076145E-07
3387,5081,1,-5.832795292354,-1.0000002887977644E-06,-9.99999524076145E-07
3411,5117,1,6.104799327749,-1.0000002887977644E-06,-9.99999524076145E-07
3427,5141,1,-6.810437558293,-1.0000002887977644E-06,-9.99999524076145E-07
3511,5267,1,-5.832795292354,-1.0000002887977644E-06,-9.99999524076145E-07
3571,5357,1,-6.810437558293,-1.0000002887977644E-06,-9.99999524076145E-07
3591,5387,1,7.082441593688,-1.0000002887977644E-06,-9.99999524076145E-07
3607,5411,1,-5.832795292354,-1.0000002887977644E-06,-9.99999524076145E-07
3623,5435,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
3631,5447,1,4.721627729125,-1.0000002887977644E-06,-9.99999524076145E-07
3651,5477,1,-5.832795292354,-1.0000002887977644E-06,-9.99999524076145E-07
3667,5501,1,-5.832795292354,-1.0000002887977644E-06,-9.99999524076145E-07
3727,5591,1,4.639897310089,-1.0000002887977644E-06,-9.99999524076145E-07
3819,5729,1,-6.810437558293,-1.0000002887977644E-06,-9.99999524076145E-07
3855,5783,1,-4.037848836053,-1.0000002887977644E-06,-9.99999524076145E-07
3879,5819,1,-4.037848836053,-1.0000002887977644E-06,-9.99999524076145E-07
3911,5867,1,4.312975633944,-1.000000287909586E-06,-9.99999524076145E-07
3919,5879,1,4.312975633944,-1.000000287909586E-06,-9.99999524076145E-07
3923,5885,1,5.290617899883,-1.0000002887977644E-06,-9.99999524076145E-07
3991,5987,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
4007,6011,1,4.231245214908,-1.000000287909586E-06,-9.99999524076145E-07
4063,6095,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
4095,6143,1,6.840373099075,-1.0000002887977644E-06,-9.99999524076145E-07
4111,6167,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
4119,6179,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
4159,6239,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
4167,6251,1,5.12715706181,-1.0000002887977644E-06,-9.99999524076145E-07
4319,6479,1,5.045426642774,-1.0000002887977644E-06,-9.99999524076145E-07
4323,6485,1,-6.892167977329,-1.0000002887977644E-06,-9.99999524076145E-07
4391,6587,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
4415,6623,1,7.736284945978,-1.0000002887977644E-06,-9.99999524076145E-07
4547,6821,1,6.023068908713,-1.0000002887977644E-06,-9.99999524076145E-07
4551,6827,1,4.963696223738,-1.0000002887977644E-06,-9.99999524076145E-07
4555,6833,1,-4.936883445452,-1.0000002887977644E-06,-9.99999524076145E-07
4559,6839,1,4.963696223738,-1.0000002887977644E-06,-9.99999524076145E-07
4595,6893,1,-4.936883445452,-1.0000002887977644E-06,-9.99999524076145E-07
4643,6965,1,-6.892167977329,-1.0000002887977644E-06,-9.99999524076145E-07
4651,6977,1,-6.892167977329,-1.0000002887977644E-06,-9.99999524076145E-07
4667,7001,1,-6.892167977329,-1.0000002887977644E-06,-9.99999524076145E-07
4675,7013,1,-4.936883445452,-1.0000002887977644E-06,-9.99999524076145E-07
4683,7025,1,-4.936883445452,-1.0000002887977644E-06,-9.99999524076145E-07
4707,7061,1,-6.892167977329,-1.0000002887977644E-06,-9.99999524076145E-07
4723,7085,1,-4.936883445452,-1.0000002887977644E-06,-9.99999524076145E-07
4731,7097,1,-4.936883445452,-1.0000002887977644E-06,-9.99999524076145E-07
4807,7211,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
4831,7247,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
4835,7253,1,-7.869810243268,-1.0000002887977644E-06,-9.99999524076145E-07
4839,7259,1,4.881965804702,-1.0000002887977644E-06,-9.99999524076145E-07
4891,7337,1,4.885088567198,-1.0000002887977644E-06,-9.99999524076145E-07
4967,7451,1,4.231245214908,-1.000000287909586E-06,-9.99999524076145E-07
5067,7601,1,-6.892167977329,-1.0000002887977644E-06,-9.99999524076145E-07
5111,7667,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
5135,7703,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
5143,7715,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
5155,7733,1,-7.421854319817,-1.0000002887977644E-06,-9.99999524076145E-07
5175,7763,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
5251,7877,1,-7.421854319817,-1.0000002887977644E-06,-9.99999524076145E-07
5263,7895,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
5371,8057,1,5.12715706181,-1.0000002887977644E-06,-9.99999524076145E-07
5547,129,1,4.639897310089,-1.0000002887977644E-06,-9.99999524076145E-07
5575,171,1,4.558166891053,-1.000000287909586E-06,-9.99999524076145E-07
5667,309,1,-4.037848836053,-1.0000002887977644E-06,-9.99999524076145E-07
5675,321,1,-4.037848836053,-1.0000002887977644E-06,-9.99999524076145E-07
5679,327,1,5.372348318919,-1.0000002887977644E-06,-9.99999524076145E-07
5735,411,1,4.312975633944,-1.000000287909586E-06,-9.99999524076145E-07
5739,417,1,4.312975633944,-1.000000287909586E-06,-9.99999524076145E-07
5763,453,1,-5.097221521028,-1.0000002887977644E-06,-9.99999524076145E-07
5811,525,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
5823,543,1,4.231245214908,-1.000000287909586E-06,-9.99999524076145E-07
5831,555,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
5847,579,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
5883,633,1,-4.201309674126,-1.0000002887977644E-06,-9.99999524076145E-07
5923,693,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
5931,705,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
5939,717,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
5947,729,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
5975,771,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
5979,777,1,-4.283040093162,-1.0000002887977644E-06,-9.99999524076145E-07
6091,945,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
6115,981,1,-5.342412778137,-1.0000002887977644E-06,-9.99999524076145E-07
6119,987,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
6139,1017,1,5.045426642774,-1.0000002887977644E-06,-9.99999524076145E-07
6175,1071,1,6.023068908713,-1.0000002887977644E-06,-9.99999524076145E-07
6215,1131,1,-4.364770512198,-1.0000002887977644E-06,-9.99999524076145E-07
6235,1161,1,7.736284945978,-1.0000002887977644E-06,-9.99999524076145E-07
6271,1215,1,5.617539576028,-1.0000002887977644E-06,-9.99999524076145E-07
6295,1251,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
6371,1365,1,-6.401785463112,-1.0000002887977644E-06,-9.99999524076145E-07
6379,1377,1,4.963696223738,-1.0000002887977644E-06,-9.99999524076145E-07
6411,1425,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
6415,1431,1,-5.424143197173,-1.0000002887977644E-06,-9.99999524076145E-07
6603,1713,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
6651,1785,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
6735,1911,1,-5.505873616209,-1.0000002887977644E-06,-9.99999524076145E-07
6767,1959,1,5.290617899883,-1.0000002887977644E-06,-9.99999524076145E-07
6915,2181,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
6931,2205,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
6939,2217,1,6.840373099075,-1.0000002887977644E-06,-9.99999524076145E-07
6947,2229,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
6951,2235,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
6955,2241,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
6963,2253,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
6995,2301,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
7075,2421,1,-6.565246301184,-1.0000002887977644E-06,-9.99999524076145E-07
7083,2433,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
7239,2667,1,-4.609961769307,-1.0000002887977644E-06,-9.99999524076145E-07
7319,2787,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
7359,2847,1,4.312975633944,-1.000000287909586E-06,-9.99999524076145E-07
7415,2931,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
7435,2961,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
7447,2979,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
7459,2997,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
7487,3039,1,6.186529746785,-1.0000002887977644E-06,-9.99999524076145E-07
7491,3045,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
7495,3051,1,4.558166891053,-1.000000287909586E-06,-9.99999524076145E-07
7535,3111,1,-5.669334454282,-1.0000002887977644E-06,-9.99999524076145E-07
7595,3201,1,4.718504966629,-1.0000002887977644E-06,-9.99999524076145E-07
7599,3207,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
7615,3231,1,5.04854940527,-1.0000002887977644E-06,-9.99999524076145E-07
7619,3237,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
7623,3243,1,-4.691692188343,-1.0000002887977644E-06,-9.99999524076145E-07
7783,3483,1,5.454078737955,-1.0000002887977644E-06,-9.99999524076145E-07
7835,3561,1,5.372348318919,-1.0000002887977644E-06,-9.99999524076145E-07
7907,3669,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
7911,3675,1,5.290617899883,-1.0000002887977644E-06,-9.99999524076145E-07
7987,3789,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
8011,3825,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
8035,3861,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
8043,3873,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
8051,3885,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
8055,3891,1,-5.751064873318,-1.0000002887977644E-06,-9.99999524076145E-07
8075,3921,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
8087,3939,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
8099,3957,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
8103,3963,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
8111,3975,1,-4.037848836053,-1.0000002887977644E-06,-9.99999524076145E-07
8115,3981,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
8119,3987,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
8123,3993,1,-4.773422607379,-1.0000002887977644E-06,-9.99999524076145E-07
8139,4017,1,-6.728707139257,-1.0000002887977644E-06,-9.99999524076145E-07
8155,4041,1,7.164172012724,-1.0000002887977644E-06,-9.99999524076145E-07
8159,4047,1,4.312975633944,-1.000000287909586E-06,-9.99999524076145E-07
783,1175,1,2.030769425922,-1.000000287909586E-06,-9.999995236320558E-07
915,1373,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
919,1379,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
935,1403,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
1219,1829,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
1223,1835,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
1227,1841,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
1235,1853,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
1239,1859,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
1247,1871,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
3343,5015,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
3359,5039,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
3843,5765,1,2.070073254192,-1.000000287909586E-06,-9.999995236320558E-07
3851,5777,1,2.070073254192,-1.000000287909586E-06,-9.999995236320558E-07
3899,5849,1,2.070073254192,-1.000000287909586E-06,-9.999995236320558E-07
3955,5933,1,2.070073254192,-1.000000287909586E-06,-9.999995236320558E-07
4187,6281,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
4439,6659,1,2.030769425922,-1.000000287909586E-06,-9.999995236320558E-07
4563,6845,1,2.518029177643,-1.000000287909586E-06,-9.999995236320558E-07
4567,6851,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
4619,6929,1,2.518029177643,-1.000000287909586E-06,-9.999995236320558E-07
4659,6989,1,2.518029177643,-1.000000287909586E-06,-9.999995236320558E-07
4747,7121,1,2.518029177643,-1.000000287909586E-06,-9.999995236320558E-07
6243,1173,1,2.030769425922,-1.000000287909586E-06,-9.999995236320558E-07
6259,1197,1,2.030769425922,-1.000000287909586E-06,-9.999995236320558E-07
6387,1389,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
6391,1395,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
6403,1413,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
6407,1419,1,2.478725349373,-1.000000287909586E-06,-9.999995236320558E-07
6679,1827,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
6695,1851,1,2.396994930337,-1.000000287909586E-06,-9.999995236320558E-07
3,5,1,-0.856608018632,-1.0000002876875413E-06,-9.999995234100112E-07
155,233,1,1.013823331713,-1.0000002876875413E-06,-9.999995234100112E-07
207,311,1,0.932092912677,-1.0000002876875413E-06,-9.999995234100112E-07
395,593,1,-0.738696533822,-1.0000002876875413E-06,-9.999995234100112E-07
495,743,1,0.686901655568,-1.0000002876875413E-06,-9.999995234100112E-07
651,977,1,0.605171236532,-1.0000002876875413E-06,-9.999995234100112E-07
795,1193,1,1.013823331713,-1.0000002876875413E-06,-9.999995234100112E-07
899,1349,1,1.501083083434,-1.0000002876875413E-06,-9.999995234100112E-07
903,1355,1,1.501083083434,-1.0000002876875413E-06,-9.999995234100112E-07
927,1391,1,1.501083083434,-1.0000002876875413E-06,-9.999995234100112E-07
1087,1631,1,-0.65384335229,-1.0000002876875413E-06,-9.999995234100112E-07
1211,1817,1,-0.778000362092,-1.0000002876875413E-06,-9.999995234100112E-07
1479,2219,1,-0.617662286516,-1.0000002876875413E-06,-9.999995234100112E-07
1487,2231,1,-0.617662286516,-1.0000002876875413E-06,-9.999995234100112E-07
1955,2933,1,-0.699392705552,-1.0000002876875413E-06,-9.999995234100112E-07
1967,2951,1,-0.699392705552,-1.0000002876875413E-06,-9.999995234100112E-07
2015,3023,1,-0.738696533822,-1.0000002876875413E-06,-9.999995234100112E-07
2391,3587,1,0.726205483838,-1.0000002876875413E-06,-9.999995234100112E-07
2427,3641,1,0.726205483838,-1.0000002876875413E-06,-9.999995234100112E-07
2435,3653,1,1.703847749777,-1.0000002876875413E-06,-9.999995234100112E-07
2439,3659,1,1.703847749777,-1.0000002876875413E-06,-9.999995234100112E-07
2451,3677,1,1.703847749777,-1.0000002876875413E-06,-9.999995234100112E-07
2455,3683,1,1.703847749777,-1.0000002876875413E-06,-9.999995234100112E-07
2467,3701,1,1.703847749777,-1.0000002876875413E-06,-9.999995234100112E-07
2471,3707,1,1.703847749777,-1.0000002876875413E-06,-9.999995234100112E-07
2523,3785,1,1.703847749777,-1.0000002876875413E-06,-9.999995234100112E-07
3107,4661,1,0.644475064802,-1.0000002876875413E-06,-9.999995234100112E-07
3147,4721,1,0.644475064802,-1.0000002876875413E-06,-9.999995234100112E-07
3159,4739,1,0.644475064802,-1.0000002876875413E-06,-9.999995234100112E-07
3187,4781,1,0.644475064802,-1.0000002876875413E-06,-9.999995234100112E-07
3211,4817,1,0.644475064802,-1.0000002876875413E-06,-9.999995234100112E-07
3655,5483,1,-0.817304190362,-1.0000002876875413E-06,-9.999995234100112E-07
3695,5543,1,-0.696269943056,-1.0000002876875413E-06,-9.999995234100112E-07
3999,5999,1,1.056249922479,-1.0000002876875413E-06,-9.999995234100112E-07
4295,6443,1,0.605171236532,-1.0000002876875413E-06,-9.999995234100112E-07
4331,6497,1,-0.369348266911,-1.0000002876875413E-06,-9.999995234100112E-07
4335,6503,1,-0.696269943056,-1.0000002876875413E-06,-9.999995234100112E-07
4355,6533,1,1.540386911704,-1.0000002876875413E-06,-9.999995234100112E-07
4363,6545,1,1.540386911704,-1.0000002876875413E-06,-9.999995234100112E-07
4387,6581,1,1.540386911704,-1.0000002876875413E-06,-9.999995234100112E-07
4403,6605,1,1.540386911704,-1.0000002876875413E-06,-9.999995234100112E-07
4423,6635,1,1.053127159983,-1.0000002876875413E-06,-9.999995234100112E-07
4451,6677,1,1.540386911704,-1.0000002876875413E-06,-9.999995234100112E-07
4467,6701,1,1.540386911704,-1.0000002876875413E-06,-9.999995234100112E-07
4475,6713,1,1.540386911704,-1.0000002876875413E-06,-9.999995234100112E-07
4587,6881,1,-0.656966114786,-1.0000002876875413E-06,-9.999995234100112E-07
4863,7295,1,1.013823331713,-1.0000002876875413E-06,-9.999995234100112E-07
4927,7391,1,0.932092912677,-1.0000002876875413E-06,-9.999995234100112E-07
5211,7817,1,-0.738696533822,-1.0000002876875413E-06,-9.999995234100112E-07
5431,8147,1,1.095553750749,-1.0000002876875413E-06,-9.999995234100112E-07
6311,1275,1,0.81105866537,-1.0000002876875413E-06,-9.999995234100112E-07
6375,1371,1,1.501083083434,-1.0000002876875413E-06,-9.999995234100112E-07
6475,1521,1,0.971396740947,-1.0000002876875413E-06,-9.999995234100112E-07
6591,1695,1,0.81105866537,-1.0000002876875413E-06,-9.999995234100112E-07
6811,2025,1,-0.778000362092,-1.0000002876875413E-06,-9.999995234100112E-07
6863,2103,1,-0.656966114786,-1.0000002876875413E-06,-9.999995234100112E-07
6935,2211,1,-0.617662286516,-1.0000002876875413E-06,-9.999995234100112E-07
7227,2649,1,-0.699392705552,-1.0000002876875413E-06,-9.999995234100112E-07
7251,2685,1,1.095553750749,-1.0000002876875413E-06,-9.999995234100112E-07
7443,2973,1,-0.699392705552,-1.0000002876875413E-06,-9.999995234100112E-07
7659,3297,1,-0.656966114786,-1.0000002876875413E-06,-9.999995234100112E-07
7751,3435,1,-0.369348266911,-1.0000002876875413E-06,-9.999995234100112E-07
7807,3519,1,1.301441179588,-1.0000002876875413E-06,-9.999995234100112E-07
7811,3525,1,0.726205483838,-1.0000002876875413E-06,-9.999995234100112E-07
7831,3555,1,0.726205483838,-1.0000002876875413E-06,-9.999995234100112E-07
7859,3597,1,0.726205483838,-1.0000002876875413E-06,-9.999995234100112E-07
7871,3615,1,0.932092912677,-1.0000002876875413E-06,-9.999995234100112E-07
7887,3639,1,1.095553750749,-1.0000002876875413E-06,-9.999995234100112E-07
7899,3657,1,0.726205483838,-1.0000002876875413E-06,-9.999995234100112E-07
